Gene_Symbol,Evidence_Count
FADD,8
RIPK1,7
TP53,7
MIR92A1,7
CASP8,7
CASP2,7
CFLAR,6
CAV1,6
FAS,6
BAX,6
RIPK3,6
BIRC3,6
CASP6,6
TMEM215,5
NUPR1,5
FZD9,5
AIFM1,5
AKT1,5
BOK,5
TSPO,5
MIR221,5
BIRC2,5
TNF,5
MIR101-1,5
RBCK1,5
FOXP1,4
TGFB2,4
MIR223,4
PRKN,4
ENDOG,4
MIR485,4
MUTYH,4
NOL3,4
PELI1,4
MIR22,4
NTRK1,4
DFFA,4
HGF,4
RNF31,4
BCL2,4
YBX3,4
BCL2L1,4
SLC25A4,4
BID,4
MIR107,4
FASLG,4
RACK1,4
ADPRS,4
MIR17,4
MIR103A1,4
MIR21,4
TRAF2,4
MIR214,4
HMOX1,4
CYLD,4
PARP1,4
IL1B,4
IL1A,4
PARK7,4
ARHGEF2,4
ZBP1,4
DNAJA1,3
DNAJA3,3
LAPTM5,3
PSEN1,3
TRAP1,3
MIRLET7B,3
PINK1,3
CTNNB1,3
TNFSF10,3
CLU,3
PIK3CB,3
PRKDC,3
PAWR,3
F2R,3
FOXO3,3
CA3,3
AIFM2,3
PRNP,3
CASP7,3
SQSTM1,3
DDR2,3
CASP3,3
SOD2,3
MET,3
MIR133A1,3
SOD1,3
CASP9,3
LTBR,3
LTB,3
LTA,3
RELA,3
MCL1,3
BAD,3
BNIP3L,3
HSPB1,3
GPX4,3
ATG5,3
BNIP3,3
CDKN1B,3
CTH,3
TSC22D3,3
ANXA1,3
GPAM,3
BCL10,3
BCL2L10,3
DAPK1,3
XIAP,3
BCL2L2,3
ITCH,3
IL6,3
LTK,2
MAP3K5,2
MAPK8,2
PRKCI,2
PIK3R3,2
PRKCD,2
MEF2C,2
PIK3R1,2
LRRK2,2
LILRB1,2
PRF1,2
PIK3CG,2
PIK3CA,2
LCN2,2
PTPN1,2
PTRH2,2
JAK2,2
ITGB1,2
ISL1,2
LEP,2
PAK2,2
RARB,2
NTSR1,2
NR4A3,2
NOX1,2
NOTCH2,2
NOTCH1,2
NFATC4,2
NEUROD1,2
MYC,2
MSX2,2
MSX1,2
MMP9,2
MMP2,2
PMAIP1,2
MIR29B1,2
PDCD1,2
PDCD4,2
MIR24-1,2
PIDD1,2
MIR210,2
MIR200B,2
MIR19B1,2
MIR195,2
PIK3CD,2
MIR15B,2
MIR146A,2
MIR132,2
POU4F1,2
PRELID1,2
MIR34A,2
IKBKG,2
ERBB3,2
ERBB2,2
EGR3,2
DNAJC3,2
CD44,2
CD38,2
CCND2,2
CCND1,2
ITGA6,2
BRCA1,2
KIT,2
FGF2,2
CNTF,2
VDAC2,2
TFRC,2
SLC7A11,2
SLC40A1,2
SAT1,2
BTG2,2
AKT3,2
AKT2,2
PDCD10,2
MAP2K4,2
TIMP1,2
SC5D,2
ROCK1,2
RARA,2
PTK2,2
GPX1,2
PPP3R1,2
PEA15,2
MGMT,2
LMNA,2
LGALS3,2
LEF1,2
KRT18,2
JUN,2
IER3,2
HMGB2,2
PPT1,2
TNFRSF12A,2
TNFRSF10C,2
TNFRSF10B,2
TNFRSF10A,2
TNFAIP8,2
TIGAR,2
THBS1,2
TGFBR1,2
TGFB3,2
POR,2
TFAP2A,2
STUB1,2
NFKB1,2
NGF,2
SNCA,2
SLC9A1,2
SIRT1,2
SFRP2,2
SFRP1,2
RHOB,2
TFAP2B,2
GCLM,2
GCLC,2
GCH1,2
FTH1,2
CBS,2
SPATA2,2
PPIF,2
OGT,2
ASAH1,2
TNFRSF1A,2
ZC3H12A,2
XBP1,2
WT1,2
WNT5A,2
UBE2Z,2
TXNIP,2
TSC22D1,2
TRADD,2
TOP2A,2
TNFSF14,2
ZNF268,2
BARD1,2
DDIT3,2
HTRA2,2
HTT,2
DUSP1,2
TP53INP1,2
CDKN1A,2
BAG1,2
ADRB2,2
ADORA2A,2
DDX3X,2
GADD45A,2
CD40LG,2
BCAP31,2
BCL2A1,2
GRIK2,2
BCL2L11,2
TREM2,2
HDAC3,2
CXCR3,2
NINJ1,2
ABL1,2
TNFRSF10D,2
ATM,2
ATG7,2
ATF4,2
ADAM8,2
CTNNA1,2
ATF3,2
GSN,2
GSK3B,2
CREB1,2
HSPD1,2
ASCL1,2
FOXO1,2
GRN,2
ACSL4,2
CCL5,2
GSDME,2
DIABLO,2
BMP4,2
BMP7,2
CCL2,2
CCAR2,2
IL19,2
CASP4,2
BMP2,2
CASP10,2
CASP1,2
AKR1C3,2
CAPN2,2
BAK1,2
APAF1,2
CAMK2A,2
CAMK1D,2
GZMA,2
APBB2,2
GADD45B,2
IL10,2
CDKN2D,2
BECN1,2
BCL6,2
IGF2R,2
FANK1,2
IDO1,2
BMF,2
CCN1,2
IFNB1,2
APP,2
