Primary_Symbol,STRING
TTN,9606.ENSP00000467141
MUC16,9606.ENSP00000381008
SYNE1,9606.ENSP00000356224
NEB,9606.ENSP00000484342
MUC19,9606.ENSP00000495398
OBSCN,9606.ENSP00000455507
DST,9606.ENSP00000307959
MACF1,9606.ENSP00000354573
LRTM3,9606.ENSP00000320232
FSIP2,9606.ENSP00000401306
SYNE2,9606.ENSP00000350719
ADGRV1,9606.ENSP00000384582
AHNAK,9606.ENSP00000367263
AHNAK2,9606.ENSP00000353114
MUC5B,9606.ENSP00000436812
MUC5AC,9606.ENSP00000485659
HMCN1,9606.ENSP00000271588
MDN1,9606.ENSP00000358400
KMT2D,9606.ENSP00000301067
MUC12,9606.ENSP00000441929
MUC4,9606.ENSP00000417498
FCGBP,9606.ENSP00000481056
MUC2,9606.ENSP00000494061
RNF213,9606.ENSP00000464087
NBPF20,9606.ENSP00000479291
USH2A,9606.ENSP00000305941
UBR4,9606.ENSP00000364403
PCLO,9606.ENSP00000334319
HYDIN,9606.ENSP00000377197
EPPK1,9606.ENSP00000484472
HMCN2,9606.ENSP00000485357
ABCA13,9606.ENSP00000411096
RYR1,9606.ENSP00000352608
BLTP1,9606.ENSP00000264501
FAT4,9606.ENSP00000377862
RYR2,9606.ENSP00000355533
KMT2C,9606.ENSP00000262189
RYR3,9606.ENSP00000489262
HERC1,9606.ENSP00000390158
BIRC6,9606.ENSP00000393596
HERC2,9606.ENSP00000261609
DNHD1,9606.ENSP00000254579
STARD9,9606.ENSP00000290607
PLEC,9606.ENSP00000323856
MYCBP2,9606.ENSP00000444596
LRP2,9606.ENSP00000496870
DYNC1H1,9606.ENSP00000348965
DNAH5,9606.ENSP00000265104
LRP1B,9606.ENSP00000374135
FAT1,9606.ENSP00000406229
SACS,9606.ENSP00000371729
APOB,9606.ENSP00000233242
FAT3,9606.ENSP00000432586
LRP1,9606.ENSP00000243077
DNAH11,9606.ENSP00000475939
MUC17,9606.ENSP00000302716
DNAH8,9606.ENSP00000333363
DNAH9,9606.ENSP00000262442
DNAH10,9606.ENSP00000489675
DNAH17,9606.ENSP00000374490
DNAH2,9606.ENSP00000458355
HSPG2,9606.ENSP00000363827
VPS13D,9606.ENSP00000478104
ANK3,9606.ENSP00000280772
HUWE1,9606.ENSP00000340648
FAT2,9606.ENSP00000261800
DYNC2H1,9606.ENSP00000497174
PKD1,9606.ENSP00000262304
DNAH1,9606.ENSP00000401514
TNXB,9606.ENSP00000407685
PKHD1L1,9606.ENSP00000367655
ALMS1,9606.ENSP00000482968
DNAH6,9606.ENSP00000374045
PRKDC,9606.ENSP00000313420
DNAH3,9606.ENSP00000261383
PKHD1,9606.ENSP00000360158
CMYA5,9606.ENSP00000394770
FLG,9606.ENSP00000357789
