Primary_Symbol,STRING,Death_Probability,Original_Label
AFP,9606.ENSP00000379138,0.9979832,-1
CARD8,9606.ENSP00000499211,0.99778,-1
POSTN,9606.ENSP00000369071,0.9977495,-1
MFN1,9606.ENSP00000420617,0.9977319,-1
HSPB3,9606.ENSP00000303394,0.99772877,-1
ABCA1,9606.ENSP00000363868,0.9977088,-1
TECTA,9606.ENSP00000376543,0.99769294,-1
STAB1,9606.ENSP00000312946,0.9976676,-1
PTPRB,9606.ENSP00000334928,0.9976646,-1
COL18A1,9606.ENSP00000352798,0.9976357,-1
KREMEN1,9606.ENSP00000331242,0.99762636,-1
AFM,9606.ENSP00000226355,0.9976163,-1
LGR5,9606.ENSP00000266674,0.99761605,-1
TFR2,9606.ENSP00000420525,0.9976138,-1
DCSTAMP,9606.ENSP00000297581,0.9976125,-1
VWF,9606.ENSP00000261405,0.99758375,-1
OTOGL,9606.ENSP00000447211,0.99758244,-1
APOB,9606.ENSP00000233242,0.9975821,-1
GSDMA,9606.ENSP00000301659,0.99757427,-1
FBLN2,9606.ENSP00000384169,0.99756855,-1
PLCB3,9606.ENSP00000443631,0.9975667,-1
PORCN,9606.ENSP00000322304,0.9975662,-1
UNC5A,9606.ENSP00000332737,0.9975649,-1
CPED1,9606.ENSP00000309772,0.99755573,-1
ABCA4,9606.ENSP00000359245,0.9975527,-1
PROS1,9606.ENSP00000377783,0.99754804,-1
NELL1,9606.ENSP00000298925,0.997546,-1
STAP2,9606.ENSP00000468927,0.997538,-1
FBLN1,9606.ENSP00000331544,0.99752766,-1
ITIH4,9606.ENSP00000266041,0.99752694,-1
GLIPR1L2,9606.ENSP00000448248,0.99751914,-1
TRAF1,9606.ENSP00000362994,0.99751914,-1
SLC27A1,9606.ENSP00000252595,0.99751246,-1
ALB,9606.ENSP00000295897,0.99750924,-1
ITIH2,9606.ENSP00000351190,0.99750465,-1
OGN,9606.ENSP00000364711,0.9975043,-1
HDC,9606.ENSP00000267845,0.99750274,-1
FBN1,9606.ENSP00000325527,0.99750143,-1
EDAR,9606.ENSP00000258443,0.9975,-1
SEMA5B,9606.ENSP00000389588,0.9974953,-1
ADGRF1,9606.ENSP00000360299,0.99749017,-1
SFRP5,9606.ENSP00000266066,0.99749005,-1
TNFRSF21,9606.ENSP00000296861,0.99748236,-1
DPP10,9606.ENSP00000376855,0.9974807,-1
CALHM5,9606.ENSP00000357588,0.9974806,-1
ABCC8,9606.ENSP00000494321,0.99747914,-1
CER1,9606.ENSP00000370297,0.99746275,-1
PLXNC1,9606.ENSP00000258526,0.9974611,-1
ITLN2,9606.ENSP00000357008,0.9974611,-1
CSF1,9606.ENSP00000327513,0.99746096,-1
OPTC,9606.ENSP00000356191,0.99745685,-1
MBOAT1,9606.ENSP00000324944,0.9974553,-1
LRRTM3,9606.ENSP00000355187,0.99745125,-1
MACC1,9606.ENSP00000383185,0.9974496,-1
SLITRK2,9606.ENSP00000334374,0.99744934,-1
FST,9606.ENSP00000256759,0.99744403,-1
TGM4,9606.ENSP00000296125,0.99744236,-1
CFTR,9606.ENSP00000003084,0.9974395,-1
PARP4,9606.ENSP00000371419,0.997439,-1
FLRT1,9606.ENSP00000246841,0.9974356,-1
ASAP3,9606.ENSP00000338769,0.9974354,-1
DSG3,9606.ENSP00000257189,0.99743325,-1
NELL2,9606.ENSP00000416341,0.997431,-1
GC,9606.ENSP00000421725,0.9974274,-1
ITGB6,9606.ENSP00000283249,0.9974273,-1
PCOLCE,9606.ENSP00000223061,0.9974239,-1
TRPV5,9606.ENSP00000265310,0.9974234,-1
GPR179,9606.ENSP00000483469,0.99742115,-1
CHRDL2,9606.ENSP00000263671,0.9974178,-1
VTN,9606.ENSP00000226218,0.99741733,-1
GSDMC,9606.ENSP00000276708,0.9974166,-1
TNS4,9606.ENSP00000254051,0.99741614,-1
PZP,9606.ENSP00000261336,0.9974141,-1
RMDN3,9606.ENSP00000260385,0.997413,-1
OC90,9606.ENSP00000254627,0.99741226,-1
STRA6,9606.ENSP00000456609,0.9974113,-1
CCL25,9606.ENSP00000375086,0.9974105,-1
KRT20,9606.ENSP00000167588,0.9974021,-1
EPHA6,9606.ENSP00000374323,0.99739957,-1
VCAN,9606.ENSP00000265077,0.99739695,-1
OVGP1,9606.ENSP00000358747,0.99739647,-1
TG,9606.ENSP00000220616,0.9973922,-1
BCO1,9606.ENSP00000258168,0.99739146,-1
FLRT2,9606.ENSP00000332879,0.99739134,-1
GRID2IP,9606.ENSP00000397351,0.9973833,-1
BANK1,9606.ENSP00000320509,0.9973793,-1
EMCN,9606.ENSP00000296420,0.99737716,-1
NID1,9606.ENSP00000264187,0.9973677,-1
CILP,9606.ENSP00000261883,0.99736506,-1
MAP3K8,9606.ENSP00000263056,0.9973646,-1
GPR158,9606.ENSP00000365529,0.9973585,-1
STAT4,9606.ENSP00000351255,0.9973557,-1
FZD6,9606.ENSP00000351605,0.99735487,-1
GAD1,9606.ENSP00000350928,0.9973521,-1
CTSF,9606.ENSP00000310832,0.9973515,-1
BCL2L13,9606.ENSP00000480836,0.99735045,-1
PPFIBP1,9606.ENSP00000314724,0.9973464,-1
FASN,9606.ENSP00000304592,0.9973429,-1
LRRTM4,9606.ENSP00000387228,0.9973425,-1
GPRC6A,9606.ENSP00000309493,0.9973412,-1
LTBP2,9606.ENSP00000261978,0.9973354,-1
ACSBG1,9606.ENSP00000258873,0.99733126,-1
NGEF,9606.ENSP00000264051,0.99732214,-1
INA,9606.ENSP00000358865,0.9973194,-1
BTD,9606.ENSP00000500193,0.9973097,-1
RCVRN,9606.ENSP00000226193,0.997308,-1
COL15A1,9606.ENSP00000364140,0.9973018,-1
SLITRK3,9606.ENSP00000420091,0.99730045,-1
TRIM13,9606.ENSP00000348299,0.9972978,-1
PIK3AP1,9606.ENSP00000339826,0.9972868,-1
LTBP1,9606.ENSP00000386043,0.9972831,-1
SERPINB12,9606.ENSP00000372218,0.99728155,-1
IL36A,9606.ENSP00000259211,0.9972799,-1
PI16,9606.ENSP00000497550,0.99727947,-1
ALDH3A2,9606.ENSP00000345774,0.9972783,-1
GUCY1A1,9606.ENSP00000296518,0.9972783,-1
CRIM1,9606.ENSP00000280527,0.9972767,-1
TNFAIP6,9606.ENSP00000243347,0.99727565,-1
UNC5CL,9606.ENSP00000244565,0.9972723,-1
CPB2,9606.ENSP00000181383,0.997265,-1
FBN2,9606.ENSP00000424571,0.997265,-1
CCN5,9606.ENSP00000361959,0.9972631,-1
LAMB1,9606.ENSP00000222399,0.9972596,-1
RECK,9606.ENSP00000367202,0.99725527,-1
LAMC2,9606.ENSP00000264144,0.99725467,-1
STAT6,9606.ENSP00000300134,0.99725336,-1
TLR9,9606.ENSP00000353874,0.9972504,-1
UNC5D,9606.ENSP00000385143,0.9972474,-1
CDCP1,9606.ENSP00000296129,0.9972464,-1
KRT8,9606.ENSP00000449404,0.99724436,-1
KRT19,9606.ENSP00000355124,0.99724376,-1
ITGA9,9606.ENSP00000264741,0.9972434,-1
PDGFC,9606.ENSP00000422464,0.9972427,-1
PLEKHH2,9606.ENSP00000282406,0.9972409,-1
IL4R,9606.ENSP00000379111,0.9972396,-1
PIK3R6,9606.ENSP00000480157,0.9972379,-1
TMC1,9606.ENSP00000494684,0.9972364,-1
LGR4,9606.ENSP00000368516,0.997233,-1
ITGB8,9606.ENSP00000222573,0.9972314,-1
ACP3,9606.ENSP00000323036,0.99723095,-1
TGFBI,9606.ENSP00000416330,0.9972308,-1
BMPER,9606.ENSP00000497748,0.9972276,-1
BCL2L15,9606.ENSP00000376992,0.99722713,-1
CXCL14,9606.ENSP00000337065,0.99722517,-1
RHCG,9606.ENSP00000268122,0.99722254,-1
CCN4,9606.ENSP00000250160,0.99722195,-1
SCUBE3,9606.ENSP00000274938,0.9972205,-1
SHBG,9606.ENSP00000369816,0.9972197,-1
F13A1,9606.ENSP00000264870,0.997218,-1
MBOAT2,9606.ENSP00000302177,0.9972178,-1
IFIT1,9606.ENSP00000360869,0.9972162,-1
NPC1L1,9606.ENSP00000289547,0.99721587,-1
HEPH,9606.ENSP00000430620,0.99721485,-1
DUOX2,9606.ENSP00000373691,0.9972145,-1
IL32,9606.ENSP00000431775,0.9972144,-1
NRP2,9606.ENSP00000353582,0.997214,-1
SEMA3C,9606.ENSP00000265361,0.99720997,-1
SH3BP4,9606.ENSP00000386862,0.99720913,-1
SVEP1,9606.ENSP00000363593,0.99720913,-1
FBN3,9606.ENSP00000270509,0.99720794,-1
AFAP1L1,9606.ENSP00000296721,0.99720746,-1
TNFSF13B,9606.ENSP00000365048,0.997207,-1
FRAS1,9606.ENSP00000422834,0.9972059,-1
PTX3,9606.ENSP00000295927,0.9972053,-1
CRP,9606.ENSP00000255030,0.99720436,-1
LRRK1,9606.ENSP00000373600,0.99720424,-1
PRKG2,9606.ENSP00000264399,0.9972037,-1
VIM,9606.ENSP00000446007,0.9972031,-1
NPHP3,9606.ENSP00000338766,0.99720275,-1
FN1,9606.ENSP00000346839,0.9972023,-1
IL10RA,9606.ENSP00000227752,0.9972007,-1
NRXN1,9606.ENSP00000385142,0.9971976,-1
HHIP,9606.ENSP00000296575,0.99719393,-1
CARD6,9606.ENSP00000254691,0.99719316,-1
CNTNAP4,9606.ENSP00000479811,0.9971904,-1
IL21R,9606.ENSP00000338010,0.9971872,-1
NRXN3,9606.ENSP00000489551,0.9971853,-1
RIGI,9606.ENSP00000369213,0.99718225,-1
MPI,9606.ENSP00000318318,0.99718,-1
COL14A1,9606.ENSP00000297848,0.99717915,-1
STAT2,9606.ENSP00000315768,0.9971775,-1
IL37,9606.ENSP00000263326,0.99717677,-1
ADGRL2,9606.ENSP00000359765,0.99717605,-1
C2,9606.ENSP00000299367,0.99717546,-1
ANO5,9606.ENSP00000315371,0.9971745,-1
PTK7,9606.ENSP00000418754,0.9971731,-1
URGCP,9606.ENSP00000396918,0.99717134,-1
HPX,9606.ENSP00000265983,0.9971704,-1
GHR,9606.ENSP00000483403,0.9971692,-1
LY75,9606.ENSP00000263636,0.99716717,-1
MIB2,9606.ENSP00000426103,0.99716574,-1
PTPN13,9606.ENSP00000394794,0.99716467,-1
SEMA4B,9606.ENSP00000394720,0.99716187,-1
ITLN1,9606.ENSP00000323587,0.99716103,-1
PAPPA,9606.ENSP00000330658,0.9971577,-1
MRC1,9606.ENSP00000455897,0.99715495,-1
LAMC1,9606.ENSP00000258341,0.99715304,-1
ZCCHC12,9606.ENSP00000308921,0.9971521,-1
