Primary_Symbol,STRING,Death_Probability,Original_Label
AFP,9606.ENSP00000379138,0.9979832,-1
NLRC4,9606.ENSP00000385428,0.9979633,1
NAIP,9606.ENSP00000428657,0.99790275,1
PLCB2,9606.ENSP00000260402,0.9978108,1
CARD8,9606.ENSP00000499211,0.99778,-1
PIK3CG,9606.ENSP00000419260,0.99777585,1
APAF1,9606.ENSP00000448165,0.99776626,1
POSTN,9606.ENSP00000369071,0.9977495,-1
LPCAT3,9606.ENSP00000261407,0.99774265,1
MFN1,9606.ENSP00000420617,0.9977319,-1
TIGAR,9606.ENSP00000179259,0.9977296,1
HSPB3,9606.ENSP00000303394,0.99772877,-1
PRKDC,9606.ENSP00000313420,0.9977276,1
PIK3CD,9606.ENSP00000366563,0.99772185,1
PIK3CB,9606.ENSP00000501150,0.99771166,1
ABCA1,9606.ENSP00000363868,0.9977088,-1
RTKN2,9606.ENSP00000362894,0.9977054,1
TECTA,9606.ENSP00000376543,0.99769294,-1
SYCP2L,9606.ENSP00000283141,0.9976897,1
SFRP2,9606.ENSP00000274063,0.99767655,1
CX3CL1,9606.ENSP00000006053,0.9976707,1
STAB1,9606.ENSP00000312946,0.9976676,-1
MAP3K5,9606.ENSP00000351908,0.9976647,1
PTPRB,9606.ENSP00000334928,0.9976646,-1
UNC5B,9606.ENSP00000334329,0.99765354,1
TCTN3,9606.ENSP00000483364,0.99764997,1
BIRC3,9606.ENSP00000263464,0.997638,1
COL18A1,9606.ENSP00000352798,0.9976357,-1
KREMEN1,9606.ENSP00000331242,0.99762636,-1
TGM2,9606.ENSP00000355330,0.9976169,1
RAG1,9606.ENSP00000299440,0.99761677,1
AFM,9606.ENSP00000226355,0.9976163,-1
LGR5,9606.ENSP00000266674,0.99761605,-1
TFR2,9606.ENSP00000420525,0.9976138,-1
DCSTAMP,9606.ENSP00000297581,0.9976125,-1
IL15RA,9606.ENSP00000380421,0.9975999,1
GADD45A,9606.ENSP00000360025,0.9975942,1
CARD14,9606.ENSP00000498071,0.99758816,1
VWF,9606.ENSP00000261405,0.99758375,-1
OTOGL,9606.ENSP00000447211,0.99758244,-1
APOB,9606.ENSP00000233242,0.9975821,-1
PIK3CA,9606.ENSP00000263967,0.9975803,1
SEMA5A,9606.ENSP00000371936,0.9975777,1
BIRC2,9606.ENSP00000477613,0.997577,1
GSDMA,9606.ENSP00000301659,0.99757427,-1
